Property label,Definition,Property URI,Controlled vocabluary (if applicable),Usage note,Requirement level,Range,Cardinality,Source of constraint,Value,SHACL_dash:viewer,SHACL_dash:editor,SHACL_sh:node,SHACL_sh:uniqueLang,SHACL_pattern,SHACL_default_value,SeMPyRO_rdf_term,SeMPyRO_rdf_type,SeMPyRO_range
hasImageModality,"The set of modalities for the images in the dataset, i.e., the type(s) of device, process or method that originally acquired or produced the data.",eucaim:hasImageModality,,"The controlled vocabulary is defined by the subclasses of the range 'eucaim:ImagingModality' (eucaim:IMG1000009). This metadata field can be populated based on DICOM tag Modality (0008,0060) after mapping.",Mandatory,eucaim:ImagingModality (IRI),1,,,,,,,,,,,
count,The number of imaging sessions according to this described protocol in the dataset.,,,,Mandatory,xsd:nonNegativeInteger,1,,,,,,,,,,,
description,Free-text description of the imaging session protocol. ,dct:description,,,Mandatory,rdfs:Literal,1..n,,,,,,,,,,,
hasScanProtocol,The ScanProtocol objects that describe the scans that make up the imaging session.,,,,Mandatory,hri:ScanProtocol,1..n,,,,,,,,,,,
hasEquipmentManufacturer,Manufacturer of the imaging device.,eucaim:hasEquipmentManufacturer,,"The controlled vocabulary is defined by the subclasses of the range 'eucaim:Manufacturer'' (eucaim:IMG1000010). DICOM tag Manufacturer (0008,0070) contains values in free text which have to be mapped first.",Recommended,eucaim:Manufacturer (IRI),0..n,,,,,,,,,,,
temporal,Period of time in which the imaging sessions were created.,dct:temporal,,,Recommended,dct:PeriodOfTime,0..1,,,,,,,,,,,
anonymizationMethod,A description of the method(s) used to de-identify the imaging data.,,,,Recommended,rdfs:Literal,0..n,,,,,,,,,,,
patientPosition,"The position of the patient relative to the imaging equipment space. See DICOM tag (0018, 5100) Patient Position.",,,Vocabulary to be determined; for example https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_C.7.3.html#sect_C.7.3.1.1.2,Recommended,,0..n,,,,,,,,,,,
purposeOfScan,The original purpose for which the imaging session took place.,,,"Vocabulary to be determined; for example: diagnostic, repeat/follow-up/monitoring, radiotherapy planning, intra-interventional, etc..",Recommended,,0..n,,,,,,,,,,,
